"date","actual","predicted","naive"
"2023-41",42.9333333333333,39.0708885192871,26.8833333333333
"2023-42",31.78,30.1292324066162,29.02
"2023-43",33.1,58.9985885620117,31.38
"2023-44",23.1,31.5729198455811,20.3666666666667
"2023-45",27.7666666666667,29.828218460083,23.82
"2023-46",19.82,25.6190662384033,14.675
"2023-47",25.0166666666667,23.0883197784424,14.6
"2023-48",30.9833333333333,24.4409961700439,21.9166666666667
"2023-49",24.36,14.8882055282593,33.9
"2023-50",24.5666666666667,17.3996200561523,34.2
"2023-51",19.85,17.694408416748,32.8
"2023-52",32.3,17.2454929351807,23.5166666666667
"2024-01",25.15,18.5522003173828,21.9333333333333
"2024-02",27.6666666666667,16.8894157409668,16.9166666666667
"2024-03",20.1,17.7026767730713,13.62
"2024-04",22.75,17.7592296600342,9.63333333333333
"2024-05",18.5833333333333,15.0576324462891,15.94
"2024-06",18.275,18.7102661132812,13.94
"2024-07",20.4,16.1694774627686,14.4166666666667
"2024-08",17.9,13.2501916885376,16.4666666666667
"2024-09",18.5166666666667,15.3060474395752,17.1333333333333
"2024-10",26.62,17.2398986816406,13.6
"2024-11",23.2333333333333,13.99267578125,17.94
"2024-12",21.54,17.8962898254395,17.1166666666667
"2024-13",18.65,15.1308088302612,14.3428571428571
"2024-14",16.625,14.9380836486816,18.425
"2024-15",15.15,15.9203062057495,19.95
"2024-16",15.35,20.7562484741211,21.0833333333333
"2024-17",16.55,22.1641159057617,21.22
"2024-18",20.36,25.6021461486816,23.0833333333333
"2024-19",28.2333333333333,24.7204284667969,25.2666666666667
"2024-20",42.8166666666667,28.3448352813721,27.3
"2024-21",23.25,25.6008605957031,33.82
"2024-22",26.32,28.2260704040527,31.9
"2024-23",28.5571428571429,26.68772315979,25.6
"2024-24",32.75,44.8772392272949,32.3666666666667
"2024-25",29.6166666666667,27.3589000701904,42.88
"2024-26",41.7166666666667,30.5612640380859,51.26
"2024-27",38.5833333333333,35.234489440918,56.9166666666667
"2024-28",42.82,38.8476333618164,51.75
"2024-29",43.95,43.5510711669922,47.24
"2024-30",47.5,38.2736625671387,36.2333333333333
"2024-31",57.6,34.8808212280273,44.8
"2024-32",78.0666666666667,31.0819149017334,47.1166666666667
"2024-33",72.1,71.3713760375977,44.2166666666667
"2024-34",71.04,42.6405563354492,50.3666666666667
"2024-35",78.6,37.6301879882812,45.625
"2024-36",69.9833333333333,43.4231796264648,36.96
"2024-37",72.4571428571429,35.0458374023438,53.35
"2024-38",59.025,37.699047088623,55.3
"2024-39",50.4433333333333,44.4126129150391,51.9
"2024-40",45.1666666666667,37.0299034118652,42.6
"2024-41",53.7666666666667,40.6675758361816,42.9333333333333
"2024-42",40.0333333333333,33.7444915771484,31.78
"2024-43",34,52.0400123596191,33.1
"2024-44",37.0666666666667,30.5376510620117,23.1
"2024-45",36.1166666666667,50.5197906494141,27.7666666666667
"2024-46",26.1833333333333,41.3008918762207,19.82
"2024-47",27.96,26.312572479248,25.0166666666667
"2024-48",42.1,25.8993225097656,30.9833333333333
"2024-49",48.75,29.626745223999,24.36
"2024-50",39.0166666666667,22.4025325775146,24.5666666666667
"2024-51",38.4833333333333,20.3421897888184,19.85
"2024-52",23.84,17.163875579834,32.3
"2025-01",42.675,18.8068523406982,25.15
"2025-02",21.5833333333333,15.9880743026733,27.6666666666667
"2025-03",17,17.1076259613037,20.1
"2025-04",17.3571428571429,19.1394996643066,22.75
"2025-05",18,14.4678602218628,18.5833333333333
"2025-06",23.025,12.6460781097412,18.275
"2025-07",18.35,21.5679569244385,20.4
"2025-08",17.55,14.7095851898193,17.9
"2025-09",14.8666666666667,13.0691719055176,18.5166666666667
"2025-10",16.24,25.5221252441406,26.62
"2025-11",16.1333333333333,19.918420791626,23.2333333333333
"2025-12",15.3,18.9334888458252,21.54
"2025-13",16.65,16.5877475738525,18.65
"2025-14",25.55,13.9993286132812,16.625
"2025-15",19.7,15.2287178039551,15.15
"2025-16",22.3333333333333,14.635235786438,15.35
"2025-17",19.6166666666667,20.2300872802734,16.55
"2025-18",19.4,19.019458770752,20.36
